 ,Basel,Basel,Basel,Basel
lat,47.75,47.75,47.75,47.75
lon,7.5,7.5,7.5,7.5
asl,363.653,363.653,363.653,363.653
variable,Temperature,Relative Humidity,Wind Speed,Wind Direction
unit,°C,%,km/h,°
level,2 m elevation corrected,2 m,10 m,10 m
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Basel Temperature ,Basel Relative Humidity ,Basel Wind Speed,Basel Wind Direction
20220115T2200,-2.0397544,95.00155,5.315336,151.69923
20220115T2300,-2.0497546,94.71696,3.8939953,146.30994
20220116T0000,-2.1797547,95.491714,4.6938257,147.52881
20220116T0100,-2.2897544,95.98696,4.6800003,157.38013
20220116T0200,-2.3097544,95.26925,4.3349743,175.23636
20220116T0300,-2.0197544,92.61359,4.32,180
20220116T0400,-1.8297547,92.00683,5.4119864,183.81407
20220116T0500,-1.8697547,90.63267,5.4477882,187.59465
20220116T0600,-1.9497546,89.47334,5.937272,194.03624
20220116T0700,-2.1097546,88.5834,6.28713,193.24052
20220116T0800,-2.3297548,89.095406,6.0347,197.35403
20220116T0900,-1.9597546,88.73407,6.379216,196.38954
20220116T1000,-0.8497546,88.32796,7.172949,197.52557
20220116T1100,0.1802454,83.27787,8.225035,246.8014
20220116T1200,0.7602454,82.13383,9.227524,249.44395
20220116T1300,1.6402454,77.07898,9.227524,249.44395
20220116T1400,2.3102455,74.56149,8.557102,255.37914
20220116T1500,2.2402453,74.437035,7.928178,267.39746
20220116T1600,2.0102453,80.46583,5.7599998,270
20220116T1700,0.2402454,86.05725,7.172949,252.47443
20220116T1800,-0.52975464,88.23251,6.4096174,218.15723
20220116T1900,-0.3797546,87.399536,5.3517847,199.65382
20220116T2000,0.13024542,85.66037,7.072878,194.74356
20220116T2100,0.19024539,83.83972,6.638072,192.52881
20220116T2200,0.5902454,80.953995,4.5536795,198.43495
20220116T2300,0.6602454,85.09678,4.8965297,216.02737
20220117T0000,0.9302454,83.634605,4.8433046,221.98721
20220117T0100,0.9302454,84.63074,4.072935,225
20220117T0200,0.8602454,86.19943,4.1046314,217.87498
20220117T0300,0.7502454,86.88882,3.8939953,213.69006
20220117T0400,0.4402454,89.72147,4.3498964,204.44395
20220117T0500,0.84024537,89.169525,5.315336,208.30077
20220117T0600,0.77024543,89.35931,3.7064266,209.05461
20220117T0700,0.6802454,89.54763,3.7064266,209.05461
20220117T0800,-0.0697546,91.14165,5.1919937,213.69006
20220117T0900,0.41024542,90.38253,4.6938257,212.47119
20220117T1000,1.7202454,86.75017,3.7064266,209.05461
20220117T1100,2.6002455,83.381004,8.161764,221.42366
20220117T1200,3.7602453,80.102196,7.9932966,234.16235
20220117T1300,4.5902452,77.94728,6.696387,233.74615
20220117T1400,5.5102453,74.69229,5.6920996,251.56506
20220117T1500,5.9102454,73.22135,6.162207,276.70984
20220117T1600,5.770245,74.74191,2.968636,255.96376
20220117T1700,4.5802455,81.92911,5.1919937,236.30994
20220117T1800,4.790245,80.73078,4.1046314,232.12502
20220117T1900,3.6702452,85.3014,4.2136917,199.98311
20220117T2000,3.2502456,86.93078,3.4152596,198.43495
20220117T2100,2.9602456,87.71939,0.35999998,360
20220117T2200,2.3802454,89.65183,1.1384199,71.56504
20220117T2300,2.3202453,90.62714,3.096837,35.53766
20220118T0000,1.3802454,92.88361,3.0758414,69.443954
20220118T0100,1.0402454,93.53877,3.8773184,68.19859
20220118T0200,0.7802454,94.55202,2.968636,75.96376
20220118T0300,0.5602454,94.81526,3.0758414,69.443954
20220118T0400,0.6802454,94.54562,5.1919937,56.30993
20220118T0500,0.64024544,94.543076,5.1165614,50.7106
20220118T0600,0.6902454,94.68469,5.1165614,50.7106
20220118T0700,0.6902454,94.33896,5.8603754,47.489548
20220118T0800,0.89024544,94.21425,5.904439,37.568573
20220118T0900,1.4302454,93.49822,7.7043357,37.40535
20220118T1000,2.5702453,92.30315,9.726664,38.990982
20220118T1100,3.7902455,90.49851,7.6367526,44.999985
20220118T1200,4.6202455,87.33682,11.885453,54.86579
20220118T1300,5.630245,80.398796,11.792404,58.736267
20220118T1400,5.9302454,75.69257,11.384198,55.304832
20220118T1500,6.0602455,74.42126,11.246759,50.194427
20220118T1600,5.610245,75.415535,7.145796,49.085617
20220118T1700,3.8502455,77.874985,7.24486,63.43495
20220118T1800,3.1402454,80.2945,5.5887027,75.06858
20220118T1900,2.6002455,81.09433,5.2416787,74.054596
20220118T2000,1.7802454,83.386444,5.506941,78.69006
20220118T2100,1.2102454,84.04615,4.0249224,100.30484
20220118T2200,1.3902454,83.7001,2.7416782,113.19859
20220118T2300,0.9002454,85.76006,4.6102495,141.34018
20220119T0000,0.9302454,86.84646,6.4096174,128.15723
20220119T0100,1.2102454,85.86297,5.1165614,140.71059
20220119T0200,0.5902454,88.22757,5.00128,149.74356
20220119T0300,0.3202454,90.04107,5.815978,158.1986
20220119T0400,-0.029754579,91.28013,6.0347,162.64597
20220119T0500,0.2802454,90.57028,5.95906,154.98311
20220119T0600,0.020245433,90.61251,5.6920996,161.56505
